especie,vencimiento,estado,marca ex,cantidad nominal compra,precio compra,cantidad nominal venta,precio venta,ultimo,tendencia,variacion %,apertura,maximo,minimo,cierre ant,vol nominal,monto operado ($),cant ope,hora cotizacion
TGNO4,24,,,0,"0,000",0,"0,000","71,500",=,"-2,72","71,500","71,500","71,500","73,500",300,21450,2,17:01:39
TGNO4,48,,,2000,"67,000",210,"75,000","71,350",=,"-0,90","72,500","72,500","71,000","72,000",92396,6622852,216,17:01:39
TGSU2,24,,,0,"0,000",0,"0,000","89,000",=,"0,23","89,000","89,000","89,000","88,800",14,1246,1,17:01:39
TGSU2,48,,,117,"85,000",7000,"90,600","87,550",+,"-0,68","88,200","88,600","86,100","88,150",196079,17131069,239,17:01:39
TRAN,24,,,0,"0,000",0,"0,000","58,000",-,"-0,68","58,800","58,800","58,000","58,400",5389,312736,5,17:01:39
TRAN,48,,,0,"0,000",157,"61,000","58,050",=,"-1,02","58,800","58,800","57,100","58,650",374612,21768385,399,17:02:17
TS,Cdo,,,0,"0,000",0,"0,000","336,000",=,"0,90","336,000","336,000","336,000","333,000",174,58464,2,16:00:16
TS,24,,,0,"0,000",0,"0,000","336,200",-,"-1,25","340,000","345,000","335,450","340,450",546,184855,7,17:01:39
TS,48,,,0,"0,000",150,"359,000","335,000",+,"-3,11","345,900","345,900","333,050","345,750",48657,16412536,225,17:01:39
YPFD,Cdo,,,0,"0,000",0,"0,000","465,000",=,"0,65","466,000","466,000","460,000","462,000",377,174237,4,16:00:16
YPFD,24,,,0,"0,000",0,"0,000","466,000",-,"0,00","468,000","470,000","466,000","466,000",129,60558,4,17:01:39
YPFD,48,,,13,"455,250",220,"471,000","461,350",=,"-1,23","467,000","469,000","460,500","467,100",74254,34441258,329,17:01:45
